"","post_id","post_type","xyz"
"421","720575940615237849","VC2_lPN","(116579.695, 61446.8825, 1488)"
"422","720575940625908200",NA,NA
"423","720575940628161632",NA,NA
"424","720575940615335773",NA,NA
"425","720575940643156846",NA,NA
"426","720575940626613839",NA,NA
"427","720575940609900145",NA,NA
"428","720575940637224782",NA,NA
"429","720575940603907774",NA,NA
"430","720575940612566782",NA,NA
"431","720575940618834086","VM3_adPN","(122684.6175, 61482.325, 1441)"
"432","720575940615712230",NA,NA
"433","720575940603723040",NA,NA
"434","720575940609979610",NA,NA
"435","720575940628056380",NA,NA
"436","720575940617893767",NA,NA
"437","720575940621295082",NA,NA
"438","720575940619952734",NA,NA
"439","720575940602443744","SMP059","(117460.7425, 30030.76375, 1974)"
"440","720575940637065781",NA,NA
"441","720575940625029898",NA,NA
"442","720575940624835209",NA,NA
"443","720575940613580338",NA,NA
"444","720575940640130177",NA,NA
"445","720575940631461843",NA,NA
"446","720575940625657105",NA,NA
"447","720575940644246051",NA,NA
"448","720575940643277422",NA,NA
"449","720575940612146129",NA,NA
"450","720575940627389822",NA,NA
"451","720575940616135707",NA,NA
"452","720575940611764264",NA,NA
"453","720575940615819009",NA,NA
"454","720575940610143667","DNp09","(127781, 82727, 5799)"
"455","720575940634388452",NA,NA
"456","720575940611994799",NA,NA
"457","720575940625092448",NA,NA
"458","720575940627165543","SLP131","(93149.9375, 41142.6925, 3570)"
"459","720575940615378644",NA,NA
"460","720575940618345409",NA,NA
"461","720575940622151915",NA,NA
"462","720575940637683288",NA,NA
"463","720575940621211174",NA,NA
"464","720575940628537295",NA,NA
"465","720575940611896785","SIP039","(103802.64, 33688.715, 3824)"
"466","720575940633799279",NA,NA
"467","720575940625230213",NA,NA
"468","720575940644494115",NA,NA
"469","720575940623823408",NA,NA
"470","720575940629976095",NA,NA
"471","720575940616365691",NA,NA
"472","720575940612033967",NA,NA
"473","720575940626224144",NA,NA
"474","720575940625726048",NA,NA
"475","720575940615889186",NA,NA
"476","720575940619432374",NA,NA
"477","720575940635861476",NA,NA
"478","720575940630409043",NA,NA
"479","720575940614962973",NA,NA
"480","720575940617042043",NA,NA
"481","720575940640265357","FB6S","(116757.45, 32775.2525, 2913)"
"482","720575940614930973",NA,NA
"483","720575940626155182",NA,NA
"484","720575940614411805",NA,NA
"485","720575940612757098",NA,NA
"486","720575940630421279",NA,NA
"487","720575940614903355",NA,NA
"488","720575940613732914",NA,NA
"489","720575940634393207",NA,NA
"490","720575940625049630",NA,NA
"491","720575940603712102",NA,NA
"492","720575940630483364",NA,NA
"493","720575940628659449",NA,NA
"494","720575940628605647",NA,NA
"495","720575940627760992",NA,NA
"496","720575940624069916",NA,NA
"497","720575940624155676","SIP044","(103285.555, 33253.1675, 3783)"
"498","720575940609331662",NA,NA
"499","720575940603833702",NA,NA
"500","720575940612615678",NA,NA
