"","post_id","post_type","xyz"
"285","720575940639806427","SMP014","(105256.65, 36395.6375, 2129)"
"286","720575940634328421",NA,NA
"287","720575940639690881",NA,NA
"288","720575940623025848",NA,NA
"289","720575940615388561","SIP042_b","(114928.765, 29507.85, 2063)"
"290","720575940614353238","DC3_adPN","(112711.805, 33613.225, 4563)"
"291","720575940609727345",NA,NA
"292","720575940602683360",NA,NA
"293","720575940626551948",NA,NA
"294","720575940619287813",NA,NA
"295","720575940627881154","SLP192","(104925.36, 25031.21875, 3210)"
"296","720575940634377507",NA,NA
"297","720575940618226567",NA,NA
"298","720575940624377240","MBON10","(113601.0075, 40777.6175, 2197)"
"299","720575940615285021",NA,NA
"300","720575940620453341",NA,NA
"301","720575940614177565",NA,NA
"302","720575940611801297",NA,NA
"303","720575940621500413",NA,NA
"304","720575940612237504",NA,NA
"305","720575940609447118",NA,NA
"306","720575940621163519",NA,NA
"307","720575940620137693",NA,NA
"308","720575940629764920",NA,NA
"309","720575940632826303",NA,NA
"310","720575940652525985",NA,NA
"311","720575940619743070",NA,NA
"312","720575940614958528",NA,NA
"313","720575940603713726",NA,NA
"314","720575940629830062",NA,NA
"315","720575940623720592",NA,NA
"316","720575940639713921",NA,NA
"317","720575940614831675",NA,NA
"318","720575940615686946",NA,NA
"319","720575940622198792",NA,NA
"320","720575940621409574",NA,NA
"321","720575940622667507",NA,NA
"322","720575940632999578",NA,NA
"323","720575940619481788",NA,NA
"324","720575940644327476","SMP190","(113869.665, 29585.195, 3361)"
"325","720575940630064744",NA,NA
"326","720575940620306957","VA7l_adPN","(118705.72, 61498.2425, 964)"
"327","720575940622595220",NA,NA
"328","720575940622946617",NA,NA
"329","720575940614413853",NA,NA
"330","720575940647473785",NA,NA
"331","720575940618330095",NA,NA
"332","720575940630609747",NA,NA
"333","720575940632350453",NA,NA
"334","720575940619093613",NA,NA
"335","720575940627594178",NA,NA
"336","720575940614961088",NA,NA
"337","720575940635525342",NA,NA
"338","720575940626808363",NA,NA
"339","720575940615265309",NA,NA
"340","720575940629298643",NA,NA
"341","720575940610429445",NA,NA
"342","720575940618474793",NA,NA
"343","720575940603788465",NA,NA
"344","720575940622978123",NA,NA
"345","720575940627768770",NA,NA
